,Year,Month,Day,Period,Coast,East,Far_West,North,North_Central,South_Central,Southern,West
4566,2018,7,10,1,10462.982177734377,1347.27348836263,2631.6967569986978,895.1546681722006,11816.726318359377,5348.005777994792,2978.5425008138022,1120.7680053710938
4567,2018,7,10,2,10337.150553385416,1330.1303100585938,2633.5687459309897,885.2926737467448,11622.07275390625,5287.520182291667,2899.3698120117188,1090.7496439615886
4568,2018,7,10,3,10490.3232421875,1334.7081298828125,2628.6339518229165,896.7128143310547,11794.40478515625,5436.153564453125,2884.0081583658853,1101.4833374023438
4569,2018,7,10,4,10921.807861328123,1423.1824340820312,2651.891906738281,920.8302815755208,12336.807779947916,5778.027058919271,2975.834045410156,1141.8103637695312
4570,2018,7,10,5,11220.314778645834,1463.7079671223958,2688.7540690104165,940.0443013509116,12886.109212239584,6080.828125,3074.4054361979165,1191.1594950358074
4571,2018,7,10,6,11895.974609375,1563.610870361328,2700.949483235677,999.9443868001302,13423.632486979166,6346.944173177083,3204.9178873697915,1212.02734375
4572,2018,7,10,7,12949.11376953125,1723.2092183430989,2728.428507486979,1136.2938842773438,14319.21232096354,6728.484293619792,3501.1460978190103,1203.1442972819011
4573,2018,7,10,8,14063.08732096354,1849.7361755371091,2784.630655924479,1202.6311747233074,15563.59431966146,7219.849731445312,3832.235900878906,1260.3936360677085
4574,2018,7,10,9,15165.322591145834,1998.54145304362,2838.8362833658853,1294.1233215332031,17154.417317708332,7787.654703776042,4164.743408203125,1370.9245503743489
4575,2018,7,10,10,16117.284993489584,2125.1580403645835,2930.400594075521,1349.2829996744792,18555.933430989586,8388.661661783854,4478.920491536458,1493.4737447102864
4576,2018,7,10,11,17011.923502604168,2230.9849446614585,3024.3696899414062,1396.2027079264324,19656.63606770833,8973.756591796875,4727.528889973958,1585.4082743326824
4577,2018,7,10,12,17580.60498046875,2298.551310221354,3082.517293294271,1440.4588928222656,20253.08349609375,9514.67146809896,4920.960815429688,1654.3141784667969
4578,2018,7,10,13,17936.374674479168,2397.5639851888022,3133.3217569986978,1487.7018127441406,20170.636393229168,9957.756022135416,5018.144409179688,1684.4437459309895
4579,2018,7,10,14,18226.6328125,2413.9381713867188,3091.9599609375,1446.8122456868489,19184.883138020832,10288.626139322916,5046.2551676432295,1785.512227376302
4580,2018,7,10,15,18225.07568359375,2380.4058227539062,3010.4690958658853,1415.1691996256511,18017.705729166668,10522.395833333334,4950.7506917317705,1865.281016031901
4581,2018,7,10,16,17809.199869791668,2259.6776529947915,3040.264912923177,1385.3003540039062,17496.597493489582,10554.51798502604,4814.899739583333,1830.7252095540364
4582,2018,7,10,17,17184.198079427082,2187.5208943684897,3040.599629720052,1367.8132019042969,17085.917154947918,10428.728271484377,4621.4475504557295,1780.1852111816406
4583,2018,7,10,18,16470.658284505207,2119.055603027344,2968.217753092448,1312.7760925292969,16703.7470703125,10006.219482421877,4425.443766276042,1756.7405293782551
4584,2018,7,10,19,16075.68798828125,2070.7305501302085,2940.0330607096357,1255.6368713378906,16586.001953125,9661.8095703125,4321.3195393880205,1706.96196492513
4585,2018,7,10,20,15293.552490234377,1997.5211893717449,2951.8044637044272,1184.1988932291667,15971.998128255207,9200.965087890623,4160.136332194011,1614.2287292480469
4586,2018,7,10,21,14250.777994791666,1865.4060668945312,2883.0218302408853,1086.0911865234375,14792.089762369793,8403.50244140625,3864.9124959309897,1498.6366170247395
4587,2018,7,10,22,13207.241048177084,1652.9176127115886,2783.139912923177,1004.7940979003906,13582.57560221354,7596.4501953125,3543.8797607421875,1397.324208577474
4588,2018,7,10,23,12355.861246744793,1545.5039978027344,2763.3856608072915,934.0461985270182,12651.160888671877,6972.312133789063,3302.67333984375,1291.557861328125
4589,2018,7,10,24,11751.803059895834,1505.1976725260415,2731.003214518229,895.3833516438802,12034.82576497396,6546.853190104167,3128.211710611979,1235.8018900553386
4590,2018,7,11,1,11364.143229166666,1502.5627746582031,2684.5992838541665,862.5015767415365,11629.341796875,6227.8510335286455,3006.5548502604165,1208.2282002766926
4591,2018,7,11,2,11177.93513997396,1424.6672058105469,2654.360677083333,851.9076080322266,11442.69571940104,6021.865315755208,2929.2546590169272,1179.0811258951824
4592,2018,7,11,3,11283.479573567707,1440.7426350911458,2658.7135416666665,856.0546824137369,11581.306315104166,6035.082967122396,2911.738647460937,1168.6229553222656
4593,2018,7,11,4,11694.377278645834,1500.8483581542969,2684.013468424479,891.7205556233724,12164.1162109375,6288.65380859375,2993.8616739908853,1186.6873677571614
4594,2018,7,11,5,11924.528238932293,1548.8982543945312,2693.7939453125,911.183573404948,12807.288981119793,6553.998779296875,3100.163024902344,1238.3211771647136
4595,2018,7,11,6,12381.42635091146,1605.1570231119792,2733.846720377604,936.575693766276,13333.788004557293,6825.813639322917,3248.5701497395835,1262.3049011230469
4596,2018,7,11,7,13354.770751953123,1718.8926900227864,2793.055969238281,990.7703348795573,14082.213134765623,7200.235310872396,3528.293172200521,1343.1634623209636
4597,2018,7,11,8,14453.854654947916,1849.6083475748696,2875.1900227864585,1179.3452555338542,15311.074544270834,7687.658284505208,3873.9527180989594,1432.4177144368489
4598,2018,7,11,9,15513.053548177084,1969.4910278320312,2956.8465169270835,1288.2566528320312,16807.287760416668,8318.582763671875,4241.990905761719,1525.3423970540364
4599,2018,7,11,10,16404.641438802082,2094.051788330078,3042.6150716145835,1405.6507364908855,18302.19661458333,8965.399495442709,4563.295817057292,1615.2040303548176
4600,2018,7,11,11,17207.043131510418,2220.336629231771,3082.825927734375,1504.9540303548176,19680.48291015625,9555.976643880207,4824.6300862630205,1755.1310323079426
4601,2018,7,11,12,17968.575032552082,2313.8126831054688,3139.030253092448,1587.3118591308594,20800.93245442708,10084.065673828123,5037.6007893880205,1858.8116149902344
4602,2018,7,11,13,18541.951009114586,2378.1325887044272,3185.8541259765625,1628.2395324707031,21321.45166015625,10507.72420247396,5182.701904296875,1929.7418314615888
4603,2018,7,11,14,18871.999674479168,2394.0798136393228,3218.3614501953125,1639.0046081542969,21636.396321614586,10873.10978190104,5263.443440755208,1993.5074259440105
4604,2018,7,11,15,18900.0009765625,2398.2178548177085,3240.7144571940103,1607.5714925130208,22060.437662760414,11085.716471354166,5272.1318359375,2009.6236572265625
4605,2018,7,11,16,18551.84814453125,2312.8624877929688,3227.563456217448,1583.0120035807292,22020.34033203125,11050.532877604166,5182.253580729167,1986.1715393066409
4606,2018,7,11,17,17907.215983072918,2190.7046101888022,3221.781046549479,1508.199483235677,21379.3828125,10812.649576822916,5009.764485677083,1962.351003011068
4607,2018,7,11,18,17149.817708333332,2067.4888916015625,3186.8159383138022,1392.8103434244792,20370.7197265625,10373.7275390625,4740.261067708333,1886.6005147298176
4608,2018,7,11,19,16640.12939453125,2010.4234212239585,3139.9470011393228,1311.4080912272136,19644.23518880208,9944.683349609377,4588.313395182292,1797.5150655110676
4609,2018,7,11,20,15867.47713216146,1919.591573079427,3059.7760416666665,1266.642110188802,18631.8994140625,9387.165201822916,4370.296752929688,1735.4913533528645
4610,2018,7,11,21,14871.036214192707,1788.7897847493489,2969.2623697916665,1178.2092386881511,17050.670247395832,8583.423828125,4045.275390625,1621.9899291992188
4611,2018,7,11,22,13825.367106119793,1610.0847473144531,2915.581339518229,1107.2326253255208,15551.85799153646,7742.32246907552,3715.986572265625,1457.9709167480469
4612,2018,7,11,23,12941.2021484375,1521.7334798177085,2868.3883463541665,1021.2820485432944,14319.28084309896,7079.443196614583,3445.4191080729165,1387.565897623698
4613,2018,7,11,24,12293.128580729166,1462.5093587239585,2815.558919270833,963.5908966064452,13431.7119140625,6651.8887125651045,3226.2160441080728,1356.5611470540364
